model,dataset,experiment_name,perturbation,dose,DEGs,r2mean,r2mean_top20,r2mean_top100,r2mean_all_boostrap_mean,r2mean_top20_boostrap_mean,r2mean_top100_boostrap_mean,cell_type_test,average_mean_expressed_diff,average_fractions_diff,average_mean_degs20_diff,average_mean_degs100_diff,edistance,wasserstein,euclidean,mean_pairwise,mmd
VidrSinglePipeline,NaultSinglePipeline_NaultLiverTissuePipeline,,tcdd,0.01,0,0.978,0.98,0.953,0.9782034308015628,0.946063314197464,0.9724257319853932,Stellate Cells,0.88961905,0.7033230742145866,0.5588355,0.6207512,1.7495032398666366,1.0897953758195869,1.3226875,1.0159305,1.7495036297396045
VidrSinglePipeline,NaultSinglePipeline_NaultLiverTissuePipeline,,tcdd,0.01,0,0.98,0.972,0.978,0.9798068905494938,0.9761011020929528,0.9693582079817794,Endothelial Cells,0.9034455,0.699323589679635,0.48934594,0.59180725,2.491445876862165,1.0977540745187744,1.5784314,1.0259464,2.4914460254480053
ScGenPipeline,NaultSinglePipeline_NaultLiverTissuePipeline,,tcdd,0.01,0,0.974,0.986,0.974,0.9731795282497474,0.968138728093008,0.9783335031774232,Stellate Cells,0.88445646,0.7138754006308143,0.5213882,0.59331375,2.5937917452649946,1.13466925700878,1.6105249,1.0155336,2.5937914452373607
VidrSinglePipeline,NaultSinglePipeline_NaultLiverTissuePipeline,,tcdd,0.01,0,0.962,0.98,0.992,0.959849521526679,0.972679068919246,0.9829409008663248,Cholangiocytes,0.8709362,0.7026323809523809,0.8174674,0.8354525,8.461941869955972,1.0350068169793112,2.9089415,1.0067202,8.461941391455285
VidrSinglePipeline,NaultSinglePipeline_NaultLiverTissuePipeline,,tcdd,0.01,0,0.99,0.988,0.98,0.9903812858635688,0.9804048229945704,0.9872928344628052,Hepatocytes - portal,0.90403754,0.6395586831364448,0.32272446,0.48011053,1.0906378419167424,1.1622056286195053,1.0443356,0.9696657,1.0906379917979645
VidrSinglePipeline,NaultSinglePipeline_NaultLiverTissuePipeline,,tcdd,0.03,1,0.99,0.992,0.992,0.9899170748360824,0.9914709555196728,0.9917915764927372,Stellate Cells,0.8811131,0.7026573701801581,0.5810982,0.63490653,1.602253701831223,1.009857970987864,1.2658015,0.9682022,1.6022537131052927
VidrSinglePipeline,NaultSinglePipeline_NaultLiverTissuePipeline,,tcdd,0.1,0,0.99,0.988,0.988,0.9890749054084976,0.9873120851401154,0.9905212300618982,Stellate Cells,0.878316,0.6895286096233283,0.7328831,0.74968493,3.4499663024350893,1.0253750073629853,1.8574082,1.0113006,3.44996663197216
VidrSinglePipeline,NaultSinglePipeline_NaultLiverTissuePipeline,,tcdd,0.01,0,0.933,0.966,0.947,0.9277484407032156,0.9337558649187327,0.9513265248964704,Portal Fibroblasts,0.83494043,0.6869430986557302,0.6365699,0.78272647,6.485018609868863,1.0192104578511345,2.5465698,1.0155526,6.485017741062015
VidrSinglePipeline,NaultSinglePipeline_NaultLiverTissuePipeline,,tcdd,0.01,0,0.99,0.992,0.99,0.9901552752898536,0.9897568368284574,0.9911035289123462,Hepatocytes - central,0.8952985,0.6531873490664099,0.32068235,0.51132596,1.1594052375369686,1.1253934912053312,1.0767572,0.9539183,1.1594050537186038
VidrSinglePipeline,NaultSinglePipeline_NaultLiverTissuePipeline,,tcdd,0.1,7,0.992,0.992,0.968,0.9927632540360716,0.971899914966065,0.9898043039302494,Hepatocytes - portal,0.9131577,0.6407705609993007,0.45002538,0.5499401,0.7635459000456158,1.232665513397483,0.87381077,1.0312899,0.7635443891229234
